---------------------------------------------------------
mask ratio : 0.75;
layer name	KL divergency	accuracy
features.stage4.unit1.body.conv2.conv.weight	0.03368769	79.25
features.stage4.unit1.body.conv3.conv.weight	0.059861984	78.0
features.stage4.unit1.identity_conv.conv.weight	0.084394	74.75
features.stage4.unit2.body.conv1.conv.weight	0.06521702	75.75
features.stage4.unit2.body.conv2.conv.weight	0.0795304	72.25
features.stage4.unit2.body.conv3.conv.weight	0.24018146	78.75
features.stage4.unit3.body.conv1.conv.weight	0.17414708	76.0
features.stage4.unit3.body.conv2.conv.weight	0.14310043	75.5
features.stage4.unit3.body.conv3.conv.weight	0.19869894	77.75
output.weight	0.48991698	72.75
